----------------------------------------
Reaction: e+N2(X1)->e+N2(X1)
Type: MomXfer   
Delta(eV): 0.00  
Mass(AMU): (5.4858E-4:28.0134)->(5.4858E-4:28.0134)
Charge: (-1:0)->(-1:0)     
#  These reaction rates were obtained with
#  the two-term solver Bolsig. 
----------------------------------------
<E>(eV)          Rate_Constant(cm^3/s)
0.0336           4.903E-09
0.0344           4.997E-09
0.0352           5.095E-09
0.0360           5.195E-09
0.0368           5.299E-09
0.0377           5.407E-09
0.0385           5.518E-09
0.0395           5.633E-09
0.0404           5.751E-09
0.0414           5.873E-09
0.0424           5.999E-09
0.0434           6.130E-09
0.0445           6.264E-09
0.0456           6.403E-09
0.0468           6.547E-09
0.0479           6.695E-09
0.0491           6.848E-09
0.0504           7.006E-09
0.0517           7.169E-09
0.0530           7.336E-09
0.0544           7.509E-09
0.0558           7.687E-09
0.0573           7.871E-09
0.0588           8.060E-09
0.0603           8.254E-09
0.0619           8.458E-09
0.0635           8.664E-09
0.0652           8.877E-09
0.0670           9.095E-09
0.0687           9.319E-09
0.0706           9.550E-09
0.0724           9.787E-09
0.0744           1.003E-08
0.0763           1.028E-08
0.0783           1.053E-08
0.0804           1.080E-08
0.0825           1.106E-08
0.0847           1.134E-08
0.0869           1.162E-08
0.0891           1.190E-08
0.0914           1.220E-08
0.0938           1.249E-08
0.0962           1.280E-08
0.0986           1.310E-08
0.1011           1.342E-08
0.1036           1.374E-08
0.1061           1.406E-08
0.1087           1.439E-08
0.1113           1.472E-08
0.1140           1.506E-08
0.1167           1.540E-08
0.1194           1.574E-08
0.1222           1.609E-08
0.1250           1.645E-08
0.1279           1.680E-08
0.1307           1.716E-08
0.1337           1.752E-08
0.1366           1.789E-08
0.1397           1.826E-08
0.1427           1.863E-08
0.1458           1.900E-08
0.1489           1.939E-08
0.1521           1.977E-08
0.1554           2.015E-08
0.1587           2.053E-08
0.1620           2.092E-08
0.1654           2.131E-08
0.1689           2.170E-08
0.1724           2.210E-08
0.1760           2.250E-08
0.1797           2.290E-08
0.1834           2.330E-08
0.1872           2.371E-08
0.1911           2.412E-08
0.1951           2.454E-08
0.1991           2.495E-08
0.2032           2.537E-08
0.2075           2.580E-08
0.2118           2.623E-08
0.2162           2.666E-08
0.2207           2.710E-08
0.2253           2.754E-08
0.2300           2.798E-08
0.2348           2.843E-08
0.2397           2.888E-08
0.2447           2.934E-08
0.2498           2.980E-08
0.2551           3.026E-08
0.2604           3.073E-08
0.2659           3.120E-08
0.2714           3.168E-08
0.2771           3.216E-08
0.2829           3.265E-08
0.2889           3.314E-08
0.2949           3.364E-08
0.3010           3.413E-08
0.3073           3.464E-08
0.3136           3.515E-08
0.3201           3.566E-08
0.3267           3.618E-08
0.3333           3.670E-08
0.3401           3.722E-08
0.3470           3.775E-08
0.3539           3.828E-08
0.3609           3.881E-08
0.3680           3.935E-08
0.3752           3.989E-08
0.3825           4.043E-08
0.3898           4.098E-08
0.3972           4.153E-08
0.4046           4.208E-08
0.4121           4.263E-08
0.4196           4.319E-08
0.4271           4.375E-08
0.4347           4.431E-08
0.4423           4.487E-08
0.4499           4.543E-08
0.4576           4.599E-08
0.4652           4.655E-08
0.4728           4.712E-08
0.4805           4.768E-08
0.4881           4.825E-08
0.4957           4.881E-08
0.5032           4.937E-08
0.5108           4.994E-08
0.5183           5.050E-08
0.5258           5.107E-08
0.5332           5.163E-08
0.5406           5.219E-08
0.5480           5.275E-08
0.5553           5.331E-08
0.5626           5.387E-08
0.5698           5.443E-08
0.5769           5.499E-08
0.5840           5.554E-08
0.5911           5.610E-08
0.5981           5.665E-08
0.6050           5.721E-08
0.6118           5.776E-08
0.6186           5.831E-08
0.6254           5.886E-08
0.6320           5.941E-08
