---------------------------------------- 
Reaction: e+N(D0)->e+N2(D0)               
Type: Ground/MomXfer            
Delta(eV): 0.00           
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C1    N    Elastic                  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
0.5166E-01	0.1914E-12
0.5286E-01	0.1936E-12
0.5434E-01	0.1955E-12
0.5625E-01	0.1972E-12
0.5880E-01	0.1983E-12
0.6220E-01	0.1986E-12
0.6705E-01	0.1973E-12
0.7406E-01	0.1952E-12
0.8581E-01	0.1984E-12
0.1012	0.1929E-12
0.1204	0.1784E-12
0.1512	0.1694E-12
0.1837	0.1505E-12
0.2338	0.1369E-12
0.2956	0.1229E-12
0.3677	0.1097E-12
0.4458	0.9810E-13
0.5228	0.8907E-13
0.5918	0.8274E-13
0.6487	0.7866E-13
0.6880	0.8256E-13
0.7194	0.8098E-13
0.7437	0.7983E-13
0.7635	0.7883E-13
0.7806	0.7781E-13
0.7962	0.7672E-13
0.8110	0.7556E-13
0.8544	0.7150E-13
0.8689	0.6982E-13
0.8831	0.6825E-13
0.8971	0.6679E-13
0.9110	0.6547E-13
0.9335	0.6137E-13
0.9466	0.6075E-13
0.9602	0.6017E-13
0.9746	0.5965E-13
0.9861	0.5898E-13
1.003	0.5857E-13
1.020	0.5820E-13
1.039	0.5786E-13
1.035	0.6143E-13
1.060	0.6055E-13
1.086	0.5980E-13
1.124	0.5808E-13
1.151	0.5776E-13
1.183	0.5691E-13
1.214	0.5681E-13
1.248	0.5673E-13
1.285	0.5674E-13
1.326	0.5678E-13
1.371	0.5688E-13
1.420	0.5704E-13
1.476	0.5725E-13
1.537	0.5752E-13
1.606	0.5787E-13
1.685	0.5830E-13
1.774	0.5884E-13
1.877	0.5948E-13
1.997	0.6027E-13
2.137	0.6123E-13
2.301	0.6238E-13
2.492	0.6376E-13
2.715	0.6537E-13
2.971	0.6724E-13
3.261	0.6935E-13
3.584	0.7168E-13
3.938	0.7418E-13
4.320	0.7683E-13
4.730	0.7958E-13
5.163	0.8237E-13
5.616	0.8517E-13
6.098	0.8797E-13
6.603	0.9073E-13
7.137	0.9343E-13
7.705	0.9607E-13
8.311	0.9862E-13
8.960	0.1011E-12
9.662	0.1034E-12
10.43	0.1057E-12
11.26	0.1078E-12
12.17	0.1097E-12
13.17	0.1115E-12
14.29	0.1131E-12
15.52	0.1144E-12
16.89	0.1156E-12
18.42	0.1164E-12
20.13	0.1170E-12
22.06	0.1173E-12
24.24	0.1173E-12
26.69	0.1169E-12
29.50	0.1162E-12
32.68	0.1151E-12
36.33	0.1137E-12
40.53	0.1120E-12
45.41	0.1100E-12
51.12	0.1077E-12
57.85	0.1050E-12
65.86	0.1022E-12
75.48	0.9902E-13
87.15	0.9568E-13
101.6	0.9211E-13
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2p3_2Do)               
Type: Excitation
Delta(eV): 2.39           
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C2    N    Excitation    2.39 eV   
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)                             
0.1012	0.000
0.1204	0.4070E-25
0.1512	0.8324E-24
0.1837	0.1123E-22
0.2338	0.1127E-21
0.2956	0.8064E-21
0.3677	0.4201E-20
0.4458	0.1636E-19
0.5228	0.4921E-19
0.5918	0.1190E-18
0.6487	0.2419E-18
0.6880	0.4273E-18
0.7194	0.6884E-18
0.7437	0.1035E-17
0.7635	0.1481E-17
0.7806	0.2046E-17
0.7962	0.2751E-17
0.8110	0.3628E-17
0.8544	0.4886E-17
0.8689	0.6270E-17
0.8831	0.7970E-17
0.8971	0.1005E-16
0.9110	0.1260E-16
0.9335	0.1586E-16
0.9466	0.1965E-16
0.9602	0.2428E-16
0.9746	0.2992E-16
0.9861	0.3663E-16
1.003	0.4497E-16
1.020	0.5509E-16
1.039	0.6738E-16
1.035	0.8034E-16
1.060	0.9839E-16
1.086	0.1202E-15
1.124	0.1479E-15
1.151	0.1796E-15
1.183	0.2182E-15
1.214	0.2639E-15
1.248	0.3186E-15
1.285	0.3839E-15
1.326	0.4615E-15
1.371	0.5537E-15
1.420	0.6628E-15
1.476	0.7915E-15
1.537	0.9426E-15
1.606	0.1120E-14
1.685	0.1326E-14
1.774	0.1566E-14
1.877	0.1842E-14
1.997	0.2158E-14
2.137	0.2517E-14
2.301	0.2919E-14
2.492	0.3361E-14
2.715	0.3837E-14
2.971	0.4338E-14
3.261	0.4850E-14
3.584	0.5358E-14
3.938	0.5848E-14
4.320	0.6307E-14
4.730	0.6726E-14
5.163	0.7099E-14
5.616	0.7424E-14
6.098	0.7699E-14
6.603	0.7928E-14
7.137	0.8113E-14
7.705	0.8257E-14
8.311	0.8361E-14
8.960	0.8429E-14
9.662	0.8462E-14
10.43	0.8462E-14
11.26	0.8431E-14
12.17	0.8369E-14
13.17	0.8279E-14
14.29	0.8159E-14
15.52	0.8012E-14
16.89	0.7839E-14
18.42	0.7640E-14
20.13	0.7418E-14
22.06	0.7173E-14
24.24	0.6907E-14
26.69	0.6623E-14
29.50	0.6320E-14
32.68	0.6005E-14
36.33	0.5679E-14
40.53	0.5344E-14
45.41	0.5002E-14
51.12	0.4658E-14
57.85	0.4314E-14
65.86	0.3973E-14
75.48	0.3635E-14
87.15	0.3309E-14
101.6	0.2989E-14
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2p3_2Po)
Type: Excitation
Delta(eV): 3.57           
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C3    N    Excitation    3.57 eV   
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)                             
0.6487	0.000
0.6880	0.1226E-35
0.7194	0.3770E-34
0.7437	0.8479E-33
0.7635	0.1438E-31
0.7806	0.1887E-30
0.7962	0.1960E-29
0.8110	0.1646E-28
0.8544	0.4982E-26
0.8689	0.3432E-25
0.8831	0.2024E-24
0.8971	0.1036E-23
0.9110	0.4655E-23
0.9335	0.1905E-22
0.9466	0.6810E-22
0.9602	0.2211E-21
0.9746	0.6580E-21
0.9861	0.1813E-20
1.003	0.4632E-20
1.020	0.1109E-19
1.039	0.2500E-19
1.035	0.5229E-19
1.060	0.1067E-18
1.086	0.2081E-18
1.124	0.3935E-18
1.151	0.7068E-18
1.183	0.1231E-17
1.214	0.2071E-17
1.248	0.3387E-17
1.285	0.5393E-17
1.326	0.8389E-17
1.371	0.1277E-16
1.420	0.1905E-16
1.476	0.2790E-16
1.537	0.4019E-16
1.606	0.5701E-16
1.685	0.7968E-16
1.774	0.1098E-15
1.877	0.1494E-15
1.997	0.2003E-15
2.137	0.2649E-15
2.301	0.3449E-15
2.492	0.4416E-15
2.715	0.5550E-15
2.971	0.6838E-15
3.261	0.8250E-15
3.584	0.9743E-15
3.938	0.1127E-14
4.320	0.1278E-14
4.730	0.1423E-14
5.163	0.1559E-14
5.616	0.1684E-14
6.098	0.1796E-14
